target,text
0,funni fact nobodi teach volcano 2 erupt tsunami 2 aris hurrican 2 sway aroundn 1 teach hw 2 choos wife natur disast happen
0,sent score sopha secondari applic school think think appli research cost also contact joke ogunrind school one less expens one
1,know someon know fanci call 09058097218 find pobox 6 ls15hb 150p
0,promis get soon text morn let know made ok
1,congratul ur award either cd gift voucher free entri 2 weekli draw txt music 87066 tnc
0,text carlo let know hang
0,see k
0,messag responc happend
0,get gandhipuram walk cross cut road right side lt gt street road turn first right
0,flippin shit yet
0,real tho suck ca even cook whole electr hungri
1,free tone hope enjoy new content text stop 61610 unsubscrib provid
0,wif buy tix lar
0,call u finish come n pick u
0,dear chechi talk
0,want come onlin
0,somewher fredericksburg
1,urgent mobil award bonu caller prize final attempt 2 contact u call 08714714011
0,come
0,k u bore come home
